UID,SpeciesName,ProjectStatus,NCBIAccessionNumber,Domain,Kingdom,Phylum,Family,Genus
122,Apis_dorsata,Permanent_Draft,PRJNA174631,EUKARYAL,Metazoa,Arthropoda,Apidae,Apis
123,Amazona_vittata,Permanent_Draft,PRJNA171587,EUKARYAL,Metazoa,Chordata,Psittacidae,Amazona
124,Manduca_sexta,Permanent_Draft,PRJNA81037,EUKARYAL,Metazoa,Arthropoda,Sphingidae,Manduca
125,Pyrus_x_bretschneideri,Permanent_Draft,PRJNA157875,EUKARYAL,Viridiplantae,Streptophyta,Rosaceae,Pyrus
126,Citrullus_lanatus,Permanent_Draft,PRJNA72695,EUKARYAL,Viridiplantae,Streptophyta,Cucurbitaceae,Citrullus
127,Eutrema_salsugineum,Permanent_Draft,PRJNA80723,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Eutrema
128,Orussus_abietinus,Permanent_Draft,PRJNA171756,EUKARYAL,Metazoa,Arthropoda,Orussidae,Orussus
129,Stomoxys_calcitrans,Permanent_Draft,PRJNA188117,EUKARYAL,Metazoa,Arthropoda,Muscidae,Stomoxys
130,Ceratitis_capitata,Permanent_Draft,PRJNA168120,EUKARYAL,Metazoa,Arthropoda,Tephritidae,Ceratitis
131,Ephemera_danica,Permanent_Draft,PRJNA171755,EUKARYAL,Metazoa,Arthropoda,Ephemeridae,Ephemera
132,Musca_domestica,Permanent_Draft,PRJNA176013,EUKARYAL,Metazoa,Arthropoda,Muscidae,Musca
133,Drosophila_eugracilis,Permanent_Draft,PRJNA67709,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
134,Gossypium_arboreum,Permanent_Draft,PRJNA181159,EUKARYAL,Viridiplantae,Streptophyta,Malvaceae,Gossypium
135,Cimex_lectularius,Permanent_Draft,PRJNA167477,EUKARYAL,Metazoa,Arthropoda,Cimicidae,Cimex
136,Panthera_tigris,Permanent_Draft,PRJNA182708,EUKARYAL,Metazoa,Chordata,Felidae,Panthera
137,Drosophila_rhopaloa,Permanent_Draft,PRJNA67665,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
138,Picea_glauca,Permanent_Draft,PRJNA83435,EUKARYAL,Viridiplantae,Streptophyta,Pinaceae,Picea
139,Onthophagus_taurus,Permanent_Draft,PRJNA167478,EUKARYAL,Metazoa,Arthropoda,Scarabaeidae,Onthophagus
140,Parasteatoda_tepidariorum,Permanent_Draft,PRJNA167405,EUKARYAL,Metazoa,Arthropoda,Theridiidae,Parasteatoda
141,Pachypsylla_venusta,Permanent_Draft,PRJNA167476,EUKARYAL,Metazoa,Arthropoda,Aphalaridae,Pachypsylla
142,Balaenoptera_acutorostrata,Permanent_Draft,PRJNA72723,EUKARYAL,Metazoa,Chordata,Balaenopteridae,Balaenoptera
143,Nelumbo_nucifera,Permanent_Draft,PRJNA168000,EUKARYAL,Viridiplantae,Streptophyta,Nelumbonaceae,Nelumbo
144,Acropora_digitifera,Permanent_Draft,PRJDA67425,EUKARYAL,Metazoa,Cnidaria,Acroporidae,Acropora
145,Chlorocebus_aethiops,Permanent_Draft,PRJNA168621,EUKARYAL,Metazoa,Chordata,Cercopithecidae,Chlorocebus
146,Solanum_pimpinellifolium,Permanent_Draft,PRJNA72351,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Solanum
147,Lactuca_sativa,Permanent_Draft,PRJNA68025,EUKARYAL,Viridiplantae,Streptophyta,Asteraceae,Lactuca
148,Mesobuthus_martensii,Permanent_Draft,PRJNA171479,EUKARYAL,Metazoa,Arthropoda,Buthidae,Mesobuthus
149,Physeter_catodon,Permanent_Draft,PRJNA89089,EUKARYAL,Metazoa,Chordata,Physeteridae,Physeter
150,Notothenia_coriiceps,Permanent_Draft,PRJNA66471,EUKARYAL,Metazoa,Chordata,Nototheniidae,Notothenia
151,Pinus_taeda,Permanent_Draft,PRJNA174450,EUKARYAL,Viridiplantae,Streptophyta,Pinaceae,Pinus
152,Linum_usitatissimum,Permanent_Draft,PRJNA68161,EUKARYAL,Viridiplantae,Streptophyta,Linaceae,Linum
153,Salmo_salar,Permanent_Draft,PRJNA72713,EUKARYAL,Metazoa,Chordata,Salmonidae,Salmo
154,Gavialis_gangeticus,Permanent_Draft,PRJNA172383,EUKARYAL,Metazoa,Chordata,Gavialidae,Gavialis
155,Crotalus_horridus,Permanent_Draft,PRJNA181087,EUKARYAL,Metazoa,Chordata,Viperidae,Crotalus
156,Panthera_leo,Complete_and_Published,PRJNA156677,EUKARYAL,Metazoa,Chordata,Felidae,Panthera
157,Takifugu_flavidus,Permanent_Draft,PRJNA168966,EUKARYAL,Metazoa,Chordata,Tetraodontidae,Takifugu
158,Alligator_mississippiensis,Permanent_Draft,PRJNA159843,EUKARYAL,Metazoa,Chordata,Alligatoridae,Alligator
159,Orcinus_orca,Permanent_Draft,PRJNA167475,EUKARYAL,Metazoa,Chordata,Delphinidae,Orcinus
160,Stegastes_partitus,Permanent_Draft,PRJNA89147,EUKARYAL,Metazoa,Chordata,Pomacentridae,Stegastes
161,Chrysemys_picta,Permanent_Draft,PRJNA78657,EUKARYAL,Metazoa,Chordata,Emydidae,Chrysemys
162,Crocodylus_porosus,Permanent_Draft,PRJNA163131,EUKARYAL,Metazoa,Chordata,Crocodylidae,Crocodylus
163,Odobenus_rosmarus,Permanent_Draft,PRJNA167474,EUKARYAL,Metazoa,Chordata,Odobenidae,Odobenus
164,Eucalyptus_camaldulensis,Permanent_Draft,PRJDA71141,EUKARYAL,Viridiplantae,Streptophyta,Myrtaceae,Eucalyptus
165,Cyprinodon_variegatus,Permanent_Draft,PRJNA89149,EUKARYAL,Metazoa,Chordata,Cyprinodontidae,Cyprinodon
166,Lipotes_vexillifer,Permanent_Draft,PRJNA174066,EUKARYAL,Metazoa,Chordata,Lipotidae,Lipotes
167,Daubentonia_madagascariensis,Permanent_Draft,PRJNA74997,EUKARYAL,Metazoa,Chordata,Daubentoniidae,Daubentonia
168,Apalone_spinifera,Permanent_Draft,PRJNA177958,EUKARYAL,Metazoa,Chordata,Trionychidae,Apalone
169,Odocoileus_virginianus,Permanent_Draft,PRJNA52611,EUKARYAL,Metazoa,Chordata,Cervidae,Odocoileus
170,Camelus_ferus,Permanent_Draft,PRJNA76177,EUKARYAL,Metazoa,Chordata,Camelidae,Camelus
171,Fundulus_heteroclitus,Permanent_Draft,PRJNA177717,EUKARYAL,Metazoa,Chordata,Fundulidae,Fundulus
172,Thamnophis_sirtalis,Permanent_Draft,PRJNA189551,EUKARYAL,Metazoa,Chordata,Colubridae,Thamnophis
173,Melopsittacus_undulatus,Permanent_Draft,PRJNA72527,EUKARYAL,Metazoa,Chordata,Psittaculidae,Melopsittacus
174,Anguilla_anguilla,Permanent_Draft,PRJNA73577,EUKARYAL,Metazoa,Chordata,Anguillidae,Anguilla
175,Cyprinus_carpio,Permanent_Draft,PRJNA73579,EUKARYAL,Metazoa,Chordata,Cyprinidae,Cyprinus
176,Mengenilla_moldrzyki,Permanent_Draft,PRJNA72521,EUKARYAL,Metazoa,Arthropoda,Mengenillidae,Mengenilla
177,Cucumis_melo,Permanent_Draft,PRJEB68,EUKARYAL,Viridiplantae,Streptophyta,Cucurbitaceae,Cucumis
178,Cannabis_sativa,Permanent_Draft,PRJNA73819,EUKARYAL,Viridiplantae,Streptophyta,Cannabaceae,Cannabis
179,Drosophila_miranda,Permanent_Draft,PRJNA77213,EUKARYAL,Metazoa,Arthropoda,Drosophilidae,Drosophila
180,Ensete_ventricosum,Permanent_Draft,PRJNA170519,EUKARYAL,Viridiplantae,Streptophyta,Musaceae,Ensete
181,Sebastes_nigrocinctus,Permanent_Draft,PRJNA171384,EUKARYAL,Metazoa,Chordata,Sebastidae,Sebastes
182,Schrenkiella_parvula,Complete_and_Published,PRJNA63667,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Schrenkiella
183,Nicotiana_tomentosiformis,Permanent_Draft,PRJNA182501,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Nicotiana
184,Aethionema_arabicum,Permanent_Draft,PRJNA202984,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Aethionema
185,Blattella_germanica,Permanent_Draft,PRJNA203136,EUKARYAL,Metazoa,Arthropoda,Ectobiidae,Blattella
186,Eurytemora_affinis,Permanent_Draft,PRJNA203087,EUKARYAL,Metazoa,Arthropoda,Temoridae,Eurytemora
